Fighter,Winner,Winner_binary,L,Stance,Stance_Orth,Stance_South,Stance_Switch,Ht.,Reach,Wt.,W,Date of Fight,Birth Date,Age at Fight
Phil Davis,Red,1,0,Orthodox,1,0,0,187.96,200.66,205,3,2010-11-20,1984-09-25,26
Karo Parisyan,Blue,0,4,Orthodox,1,0,0,177.8,182.88,170,8,2010-11-20,1982-08-28,28
Matt Brown,Blue,0,3,Orthodox,1,0,0,182.88,190.5,170,4,2010-11-20,1981-01-10,30
Gerald Harris,Blue,0,0,Southpaw,0,1,0,180.34,195.58,185,3,2010-11-20,1979-11-19,31
Aaron Simpson,Blue,0,1,Orthodox,1,0,0,182.88,185.42,170,3,2010-11-20,1974-07-20,36
Matt Hughes,Blue,0,5,Switch,0,0,1,175.26,185.42,170,18,2010-11-20,1973-10-13,37
Quinton Jackson,Red,1,2,Orthodox,1,0,0,185.42,185.42,205,5,2010-11-20,1978-06-20,32
George Sotiropoulos,Red,1,0,Orthodox,1,0,0,177.8,180.34,155,6,2010-11-20,1977-07-09,33
Mike Lullo,Blue,0,0,Orthodox,1,0,0,172.72,,145,0,2010-11-20,1979-07-24,31
Paul Kelly,Red,1,3,Orthodox,1,0,0,175.26,177.8,155,4,2010-11-20,1984-09-12,26
Tyson Griffin,Blue,0,4,Orthodox,1,0,0,167.64,172.72,145,7,2010-11-20,1984-04-20,27
Kyle Noke,Red,1,0,Southpaw,0,1,0,185.42,193.04,170,1,2010-11-13,1980-03-18,31
Amir Sadollah,Red,1,2,Orthodox,1,0,0,177.8,190.5,170,3,2010-11-13,1980-08-27,30
Dennis Siver,Red,1,4,Orthodox,1,0,0,167.64,177.8,145,5,2010-11-13,1979-01-13,32
Pascal Krauss,Red,1,0,Orthodox,1,0,0,185.42,,170,0,2010-11-13,1987-04-19,24
Duane Ludwig,Red,1,2,Orthodox,1,0,0,177.8,177.8,170,2,2010-11-13,1978-08-04,32
Nate Marquardt,Blue,0,3,Orthodox,1,0,0,182.88,187.96,185,9,2010-11-13,1979-04-20,32
Vladimir Matyushenko,Red,1,3,Orthodox,1,0,0,182.88,187.96,205,5,2010-11-13,1971-01-04,40
Krzysztof Soszynski,Red,1,2,Open Stance,0,0,0,185.42,195.58,205,4,2010-11-13,1977-08-02,33
Kris McCray,Blue,0,1,Orthodox,1,0,0,182.88,193.04,170,0,2010-11-13,1981-09-24,29
Seth Petruzelli,Blue,0,3,Orthodox,1,0,0,182.88,193.04,205,0,2010-11-13,1979-12-03,31
Mike Guymon,Blue,0,1,Orthodox,1,0,0,182.88,187.96,170,1,2010-10-23,1974-09-17,36
Diego Sanchez,Red,1,4,Southpaw,0,1,0,177.8,182.88,170,10,2010-10-23,1981-12-31,29
Court McGee,Red,1,0,Orthodox,1,0,0,180.34,190.5,170,1,2010-10-23,1984-12-12,26
Brendan Schaub,Red,1,1,Orthodox,1,0,0,193.04,198.12,245,2,2010-10-23,1983-03-18,28
Jake Shields,Red,1,0,Orthodox,1,0,0,182.88,182.88,170,0,2010-10-23,1979-01-09,32
Brock Lesnar,Blue,0,1,Orthodox,1,0,0,190.5,205.74,265,4,2010-10-23,1977-07-12,33
Tito Ortiz,Blue,0,8,Orthodox,1,0,0,190.5,187.96,205,14,2010-10-23,1975-01-23,36
Patrick Cote,Blue,0,6,Orthodox,1,0,0,180.34,190.5,170,4,2010-10-23,1980-02-29,31
Sam Stout,Red,1,5,Orthodox,1,0,0,175.26,177.8,155,4,2010-10-23,1984-04-23,27
Jon Madsen,Red,1,0,Orthodox,1,0,0,182.88,182.88,240,3,2010-10-23,1980-02-12,31
Chris Camozzi,Red,1,0,Orthodox,1,0,0,187.96,190.5,185,1,2010-10-23,1986-11-20,24
Cyrille Diabate,Blue,0,0,Southpaw,0,1,0,198.12,205.74,205,1,2010-10-16,1973-10-06,37
John Hathaway,Blue,0,0,Orthodox,1,0,0,185.42,190.5,170,4,2010-10-16,1987-07-23,23
Dan Hardy,Blue,0,1,Orthodox,1,0,0,182.88,187.96,170,4,2010-10-16,1982-05-17,28
Paul Sass,Red,1,0,Orthodox,1,0,0,182.88,185.42,155,0,2010-10-16,1988-08-04,22
James Wilks,Blue,0,1,Orthodox,1,0,0,185.42,190.5,170,2,2010-10-16,1978-05-04,32
Cheick Kongo,Draw,0,4,Orthodox,1,0,0,193.04,208.28,240,8,2010-10-16,1975-05-17,35
Michael Bisping,Red,1,3,Orthodox,1,0,0,185.42,190.5,185,9,2010-10-16,1979-02-28,32
Rob Broughton,Red,1,0,Orthodox,1,0,0,187.96,187.96,265,0,2010-10-16,1983-03-03,28
James McSweeney,Blue,0,1,Switch,0,0,1,193.04,195.58,230,1,2010-10-16,1980-10-24,30
Spencer Fisher,Red,1,5,Southpaw,0,1,0,170.18,172.72,155,8,2010-10-16,1976-05-09,34
Thiago Tavares,Red,1,4,Orthodox,1,0,0,170.18,177.8,145,4,2010-09-25,1984-11-08,26
CB Dollaway,Red,1,2,Orthodox,1,0,0,187.96,193.04,185,4,2010-09-25,1983-08-10,27
Sean Sherk,Red,1,4,Orthodox,1,0,0,167.64,170.18,155,7,2010-09-25,1973-08-05,37
Matt Serra,Blue,0,6,Orthodox,1,0,0,167.64,172.72,170,7,2010-09-25,1974-06-02,36
Rogerio Nogueira,Blue,0,0,Southpaw,0,1,0,187.96,190.5,205,2,2010-09-25,1976-06-02,34
Melvin Guillard,Red,1,4,Orthodox,1,0,0,175.26,180.34,155,7,2010-09-25,1983-03-30,27
Frank Mir,Red,1,5,Southpaw,0,1,0,190.5,200.66,264,11,2010-09-25,1979-05-24,31
Matt Mitrione,Red,1,0,Switch,0,0,1,190.5,208.28,265,2,2010-09-25,1978-07-15,32
Steve Lopez,Blue,0,1,Orthodox,1,0,0,180.34,,155,0,2010-09-25,1984-07-30,26
Mark Hunt,Blue,0,0,Orthodox,1,0,0,177.8,182.88,265,0,2010-09-25,1974-03-23,37
TJ Grant,Red,1,2,Orthodox,1,0,0,177.8,182.88,155,2,2010-09-25,1984-02-26,27
Nate Marquardt,Red,1,3,Orthodox,1,0,0,182.88,187.96,185,8,2010-09-15,1979-04-20,31
Rich Attonito,Red,1,0,Orthodox,1,0,0,177.8,182.88,170,1,2010-09-15,1977-06-16,33
Yves Edwards,Red,1,4,Southpaw,0,1,0,175.26,185.42,155,6,2010-09-15,1976-09-30,34
Tomasz Drwal,Blue,0,2,Orthodox,1,0,0,185.42,193.04,205,3,2010-09-15,1982-01-22,29
Jared Hamman,Blue,0,1,Orthodox,1,0,0,190.5,190.5,185,1,2010-09-15,1982-03-07,29
Cole Miller,Red,1,2,Orthodox,1,0,0,185.42,185.42,145,5,2010-09-15,1984-04-26,26
Jim Miller,Red,1,1,Southpaw,0,1,0,172.72,180.34,155,6,2010-09-15,1983-08-30,27
Efrain Escudero,Blue,0,1,Orthodox,1,0,0,175.26,180.34,155,3,2010-09-15,1986-01-15,25
Brian Foster,Red,1,2,Orthodox,1,0,0,175.26,180.34,170,1,2010-09-15,1984-04-03,26
TJ Waldburger,Red,1,0,Orthodox,1,0,0,180.34,190.5,170,0,2010-09-15,1988-04-25,22
Joe Lauzon,Red,1,2,Orthodox,1,0,0,177.8,180.34,155,5,2010-08-28,1984-05-22,26
Andre Winner,Blue,0,1,Orthodox,1,0,0,180.34,185.42,155,2,2010-08-28,1981-11-09,29
Demian Maia,Red,1,2,Southpaw,0,1,0,185.42,182.88,170,6,2010-08-28,1977-11-06,33
Frankie Edgar,Red,1,1,Orthodox,1,0,0,167.64,172.72,135,7,2010-08-28,1981-10-16,29
Dan Miller,Red,1,3,Orthodox,1,0,0,185.42,187.96,185,3,2010-08-28,1981-06-30,29
Randy Couture,Red,1,7,Orthodox,1,0,0,185.42,190.5,205,15,2010-08-28,1963-06-22,47
Kenny Florian,Blue,0,3,Southpaw,0,1,0,177.8,187.96,145,11,2010-08-28,1976-05-26,34
Nate Diaz,Red,1,3,Southpaw,0,1,0,182.88,193.04,170,7,2010-08-28,1985-04-16,25
Mike Pierce,Red,1,1,Orthodox,1,0,0,172.72,180.34,170,2,2010-08-28,1980-09-01,30
Nick Osipczak,Blue,0,1,Orthodox,1,0,0,187.96,193.04,170,2,2010-08-28,1984-12-30,26
Jon Fitch,Red,1,1,Orthodox,1,0,0,182.88,187.96,170,12,2010-08-07,1978-02-24,32
Roy Nelson,Blue,0,0,Orthodox,1,0,0,182.88,185.42,263,2,2010-08-07,1976-06-20,34
Rodney Wallace,Blue,0,2,Switch,0,0,1,175.26,182.88,205,0,2010-08-07,1981-11-21,29
Clay Guida,Red,1,5,Orthodox,1,0,0,170.18,177.8,155,6,2010-08-07,1981-12-08,29
Matt Hughes,Red,1,5,Switch,0,0,1,175.26,185.42,170,17,2010-08-07,1973-10-13,37
Johny Hendricks,Red,1,0,Southpaw,0,1,0,175.26,175.26,185,3,2010-08-07,1983-09-12,27
Anderson Silva,Red,1,0,Southpaw,0,1,0,187.96,195.58,185,11,2010-08-07,1975-04-14,35
Dustin Hazelett,Blue,0,3,Orthodox,1,0,0,185.42,193.04,170,5,2010-08-07,1986-04-29,24
Todd Brown,Blue,0,0,Orthodox,1,0,0,180.34,,205,0,2010-08-07,1976-12-13,34
Stefan Struve,Red,1,2,Orthodox,1,0,0,210.82,213.36,265,3,2010-08-07,1988-02-18,22
Ben Saunders,Blue,0,2,Orthodox,1,0,0,187.96,195.58,170,4,2010-08-07,1983-04-13,27
DaMarques Johnson,Blue,0,1,Orthodox,1,0,0,185.42,190.5,170,2,2010-08-01,1982-06-28,28
Jon Jones,Red,1,1,Orthodox,1,0,0,193.04,213.36,205,4,2010-08-01,1987-07-19,23
Tyson Griffin,Blue,0,3,Orthodox,1,0,0,167.64,172.72,145,7,2010-08-01,1984-04-20,26
Mark Munoz,Blue,0,1,Orthodox,1,0,0,182.88,180.34,185,3,2010-08-01,1978-02-09,32
James Irvin,Blue,0,5,Orthodox,1,0,0,187.96,190.5,205,4,2010-08-01,1978-09-12,32
Brian Stann,Red,1,2,Orthodox,1,0,0,185.42,187.96,205,2,2010-08-01,1980-09-24,30
Paul Kelly,Blue,0,2,Orthodox,1,0,0,175.26,177.8,155,4,2010-08-01,1984-09-12,26
John Howard,Blue,0,0,Orthodox,1,0,0,170.18,182.88,170,4,2010-08-01,1983-03-01,27
Darren Elkins,Blue,0,0,Orthodox,1,0,0,177.8,180.34,145,1,2010-08-01,1984-05-16,26
Rob Kimmons,Red,1,2,Orthodox,1,0,0,177.8,185.42,185,2,2010-08-01,1981-01-30,30
Chris Leben,Red,1,5,Southpaw,0,1,0,180.34,185.42,185,10,2010-07-03,1980-07-21,30
Krzysztof Soszynski,Blue,0,1,Open Stance,0,0,0,185.42,195.58,205,4,2010-07-03,1977-08-02,33
George Sotiropoulos,Red,1,0,Orthodox,1,0,0,177.8,180.34,155,5,2010-07-03,1977-07-09,33
Chris Lytle,Red,1,9,Orthodox,1,0,0,180.34,172.72,170,7,2010-07-03,1974-08-18,36
Brock Lesnar,Red,1,1,Orthodox,1,0,0,190.5,205.74,265,3,2010-07-03,1977-07-12,33
Seth Petruzelli,Blue,0,2,Orthodox,1,0,0,182.88,193.04,205,0,2010-07-03,1979-12-03,31
Brendan Schaub,Red,1,1,Orthodox,1,0,0,193.04,198.12,245,1,2010-07-03,1983-03-18,27
Kendall Grove,Red,1,4,Orthodox,1,0,0,198.12,200.66,185,6,2010-07-03,1982-11-12,28
Gerald Harris,Red,1,0,Southpaw,0,1,0,180.34,195.58,185,2,2010-07-03,1979-11-19,31
Forrest Petz,Blue,0,3,Orthodox,1,0,0,175.26,180.34,170,2,2010-07-03,1975-09-22,35
Jon Madsen,Red,1,0,Orthodox,1,0,0,182.88,182.88,240,2,2010-07-03,1980-02-12,30
Court McGee,Red,1,0,Orthodox,1,0,0,180.34,190.5,170,0,2010-06-19,1984-12-12,26
Chris Leben,Red,1,5,Southpaw,0,1,0,180.34,185.42,185,9,2010-06-19,1980-07-21,30
Jamie Yager,Blue,0,0,Orthodox,1,0,0,185.42,,185,0,2010-06-19,1983-11-29,27
John Gunderson,Red,1,1,Orthodox,1,0,0,175.26,175.26,155,0,2010-06-19,1979-01-05,31
Spencer Fisher,Blue,0,4,Southpaw,0,1,0,170.18,172.72,155,8,2010-06-19,1976-05-09,34
Keith Jardine,Blue,0,6,Orthodox,1,0,0,187.96,193.04,185,6,2010-06-19,1975-10-31,35
Brad Tavares,Red,1,0,Orthodox,1,0,0,185.42,187.96,185,0,2010-06-19,1987-12-21,22
Josh Bryant,Blue,0,0,Orthodox,1,0,0,177.8,,185,0,2010-06-19,1980-04-23,30
James McSweeney,Blue,0,0,Switch,0,0,1,193.04,195.58,230,1,2010-06-19,1980-10-24,30
Chris Camozzi,Red,1,0,Orthodox,1,0,0,187.96,190.5,185,0,2010-06-19,1986-11-20,24
Tyson Griffin,Blue,0,2,Orthodox,1,0,0,167.64,172.72,145,7,2010-06-12,1984-04-20,26
Paulo Thiago,Blue,0,1,Orthodox,1,0,0,180.34,187.96,170,3,2010-06-12,1981-01-25,29
Mirko Filipovic,Red,1,3,Southpaw,0,1,0,187.96,185.42,230,3,2010-06-12,1974-09-10,36
David Loiseau,Blue,0,4,Orthodox,1,0,0,182.88,193.04,185,4,2010-06-12,1979-12-17,30
Ben Rothwell,Red,1,1,Orthodox,1,0,0,193.04,198.12,265,0,2010-06-12,1981-10-17,29
Carlos Condit,Red,1,1,Orthodox,1,0,0,187.96,190.5,170,1,2010-06-12,1984-04-26,26
Mac Danzig,Blue,0,3,Orthodox,1,0,0,172.72,177.8,155,3,2010-06-12,1980-01-02,30
Chuck Liddell,Blue,0,6,Orthodox,1,0,0,187.96,193.04,205,16,2010-06-12,1969-12-17,40
James Wilks,Red,1,1,Orthodox,1,0,0,185.42,190.5,170,1,2010-06-12,1978-05-04,32
Ricardo Funch,Blue,0,1,Southpaw,0,1,0,177.8,187.96,170,0,2010-06-12,1980-08-14,30
Mike Pyle,Red,1,2,Orthodox,1,0,0,182.88,187.96,170,1,2010-06-12,1975-09-18,35
Melvin Guillard,Red,1,4,Orthodox,1,0,0,175.26,180.34,155,6,2010-05-29,1983-03-30,27
Michael Bisping,Red,1,3,Orthodox,1,0,0,185.42,190.5,185,8,2010-05-29,1979-02-28,31
Todd Duffee,Blue,0,0,Orthodox,1,0,0,190.5,198.12,260,1,2010-05-29,1985-12-06,24
Efrain Escudero,Red,1,1,Orthodox,1,0,0,175.26,180.34,155,2,2010-05-29,1986-01-15,24
Jason Brilz,Blue,0,1,Orthodox,1,0,0,180.34,180.34,205,3,2010-05-29,1975-07-07,35
Diego Sanchez,Blue,0,3,Southpaw,0,1,0,177.8,182.88,170,10,2010-05-29,1981-12-31,28
Quinton Jackson,Blue,0,1,Orthodox,1,0,0,185.42,185.42,205,5,2010-05-29,1978-06-20,32
Amir Sadollah,Blue,0,1,Orthodox,1,0,0,177.8,190.5,170,3,2010-05-29,1980-08-27,30
Luiz Cane,Blue,0,2,Southpaw,0,1,0,187.96,195.58,185,3,2010-05-29,1981-04-24,29
Aaron Riley,Red,1,4,Southpaw,0,1,0,172.72,175.26,155,2,2010-05-29,1980-12-09,29
Jesse Forbes,Blue,0,2,Southpaw,0,1,0,187.96,190.5,185,0,2010-05-29,1984-10-24,26
Marcus Davis,Red,1,4,Southpaw,0,1,0,177.8,177.8,170,8,2010-05-08,1973-08-24,37
Tom Lawlor,Blue,0,1,Southpaw,0,1,0,182.88,187.96,205,2,2010-05-08,1983-05-15,27
Josh Koscheck,Red,1,4,Orthodox,1,0,0,177.8,185.42,170,12,2010-05-08,1977-11-30,32
TJ Grant,Blue,0,1,Orthodox,1,0,0,177.8,182.88,155,2,2010-05-08,1984-02-26,26
Patrick Cote,Blue,0,5,Orthodox,1,0,0,180.34,190.5,170,4,2010-05-08,1980-02-29,30
Sam Stout,Blue,0,4,Orthodox,1,0,0,175.26,177.8,155,4,2010-05-08,1984-04-23,26
Kevin Ferguson,Blue,0,0,Orthodox,1,0,0,187.96,195.58,235,1,2010-05-08,1974-02-08,36
Joey Beltran,Red,1,0,Orthodox,1,0,0,185.42,190.5,185,1,2010-05-08,1981-12-08,28
Jason MacDonald,Blue,0,5,Orthodox,1,0,0,190.5,203.2,185,5,2010-05-08,1975-06-03,35
Yoshiyuki Yoshida,Blue,0,2,Southpaw,0,1,0,180.34,177.8,170,2,2010-05-08,1974-05-10,36
Lyoto Machida,Blue,0,0,Southpaw,0,1,0,185.42,187.96,185,8,2010-05-08,1978-05-30,32
BJ Penn,Blue,0,5,Orthodox,1,0,0,175.26,177.8,155,11,2010-04-10,1978-12-13,31
Anderson Silva,Red,1,0,Southpaw,0,1,0,187.96,195.58,185,10,2010-04-10,1975-04-14,35
Kendall Grove,Blue,0,3,Orthodox,1,0,0,198.12,200.66,185,6,2010-04-10,1982-11-12,27
Nick Osipczak,Blue,0,0,Orthodox,1,0,0,187.96,193.04,170,2,2010-04-10,1984-12-30,25
Matt Hughes,Red,1,5,Switch,0,0,1,175.26,185.42,170,16,2010-04-10,1973-10-13,36
DaMarques Johnson,Red,1,1,Orthodox,1,0,0,185.42,190.5,170,1,2010-04-10,1982-06-28,28
Alexander Gustafsson,Blue,0,0,Orthodox,1,0,0,195.58,200.66,205,1,2010-04-10,1987-01-15,23
Terry Etim,Blue,0,2,Orthodox,1,0,0,185.42,185.42,155,5,2010-04-10,1986-01-11,24
Paul Kelly,Red,1,2,Orthodox,1,0,0,175.26,177.8,155,3,2010-04-10,1984-09-12,26
Jon Madsen,Red,1,0,Orthodox,1,0,0,182.88,182.88,240,1,2010-04-10,1980-02-12,30
Kenny Florian,Red,1,3,Southpaw,0,1,0,177.8,187.96,145,10,2010-03-31,1976-05-26,34
Ross Pearson,Red,1,0,Orthodox,1,0,0,172.72,175.26,155,2,2010-03-31,1984-09-26,26
Rob Emerson,Blue,0,3,Orthodox,1,0,0,175.26,177.8,155,3,2010-03-31,1981-07-30,29
Caol Uno,Blue,0,6,Southpaw,0,1,0,170.18,177.8,155,3,2010-03-31,1975-05-08,35
Andre Winner,Red,1,1,Orthodox,1,0,0,180.34,185.42,155,1,2010-03-31,1981-11-09,28
Roy Nelson,Red,1,0,Orthodox,1,0,0,182.88,185.42,263,1,2010-03-31,1976-06-20,34
Jacob Volkmann,Red,1,2,Southpaw,0,1,0,175.26,180.34,155,0,2010-03-31,1980-09-05,30
Nate Quarry,Blue,0,2,Open Stance,0,0,0,182.88,182.88,185,7,2010-03-31,1972-03-18,38
Yushin Okami,Red,1,2,Southpaw,0,1,0,187.96,190.5,170,7,2010-03-31,1981-07-21,29
Gerald Harris,Red,1,0,Southpaw,0,1,0,180.34,195.58,185,1,2010-03-31,1979-11-19,30
Charlie Brenneman,Red,1,0,Orthodox,1,0,0,177.8,177.8,155,0,2010-03-31,1981-02-09,29
Jim Miller,Red,1,1,Southpaw,0,1,0,172.72,180.34,155,5,2010-03-27,1983-08-30,27
Rousimar Palhares,Red,1,1,Orthodox,1,0,0,172.72,180.34,170,3,2010-03-27,1980-02-26,30
Ricardo Almeida,Red,1,3,Orthodox,1,0,0,182.88,187.96,170,4,2010-03-27,1976-11-29,33
Nate Diaz,Red,1,3,Southpaw,0,1,0,182.88,193.04,170,6,2010-03-27,1985-04-16,25
Kurt Pellegrino,Red,1,3,Orthodox,1,0,0,172.72,177.8,155,6,2010-03-27,1979-05-07,31
Georges St-Pierre,Red,1,2,Orthodox,1,0,0,180.34,193.04,185,13,2010-03-27,1981-05-19,29
Frank Mir,Blue,0,4,Southpaw,0,1,0,190.5,200.66,264,11,2010-03-27,1979-05-24,31
Ben Saunders,Blue,0,1,Orthodox,1,0,0,187.96,195.58,170,4,2010-03-27,1983-04-13,27
Rodney Wallace,Blue,0,1,Switch,0,0,1,175.26,182.88,205,0,2010-03-27,1981-11-21,28
Matthew Riddle,Red,1,1,Southpaw,0,1,0,185.42,193.04,170,3,2010-03-27,1986-01-14,24
Alessio Sakara,Red,1,5,Orthodox,1,0,0,182.88,182.88,185,5,2010-03-21,1981-09-02,29
John Howard,Red,1,0,Orthodox,1,0,0,170.18,182.88,170,3,2010-03-21,1983-03-01,27
Clay Guida,Red,1,5,Orthodox,1,0,0,170.18,177.8,155,5,2010-03-21,1981-12-08,28
Eliot Marshall,Blue,0,0,Orthodox,1,0,0,187.96,195.58,205,3,2010-03-21,1980-07-07,30
Junior Dos Santos,Red,1,0,Orthodox,1,0,0,193.04,195.58,238,4,2010-03-21,1984-01-30,26
Duane Ludwig,Blue,0,1,Orthodox,1,0,0,177.8,177.8,170,2,2010-03-21,1978-08-04,32
Brandon Vera,Blue,0,4,Orthodox,1,0,0,190.5,198.12,230,7,2010-03-21,1977-10-10,32
Cheick Kongo,Red,1,4,Orthodox,1,0,0,193.04,208.28,240,7,2010-03-21,1975-05-17,35
Brendan Schaub,Red,1,1,Orthodox,1,0,0,193.04,198.12,245,0,2010-03-21,1983-03-18,27
Eric Schafer,Blue,0,3,Orthodox,1,0,0,190.5,193.04,185,3,2010-03-21,1977-09-20,33
Mike Pierce,Red,1,1,Orthodox,1,0,0,172.72,180.34,170,1,2010-03-21,1980-09-01,30
Chris Lytle,Red,1,9,Orthodox,1,0,0,180.34,172.72,170,6,2010-02-20,1974-08-18,36
Krzysztof Soszynski,Red,1,1,Open Stance,0,0,0,185.42,195.58,205,3,2010-02-20,1977-08-02,33
CB Dollaway,Red,1,2,Orthodox,1,0,0,187.96,193.04,185,3,2010-02-20,1983-08-10,27
Cain Velasquez,Red,1,0,Orthodox,1,0,0,185.42,195.58,240,5,2010-02-20,1982-07-28,28
Mirko Filipovic,Red,1,3,Southpaw,0,1,0,187.96,185.42,230,2,2010-02-20,1974-09-10,35
George Sotiropoulos,Red,1,0,Orthodox,1,0,0,177.8,180.34,155,4,2010-02-20,1977-07-09,33
Ryan Bader,Red,1,0,Orthodox,1,0,0,187.96,187.96,205,3,2010-02-20,1983-06-07,27
Wanderlei Silva,Red,1,5,Orthodox,1,0,0,180.34,187.96,205,2,2010-02-20,1976-07-03,34
James Te Huna,Red,1,0,Orthodox,1,0,0,187.96,190.5,185,0,2010-02-20,1981-09-29,28
Demian Maia,Red,1,1,Southpaw,0,1,0,185.42,182.88,170,5,2010-02-06,1977-11-06,32
Melvin Guillard,Red,1,4,Orthodox,1,0,0,175.26,180.34,155,5,2010-02-06,1983-03-30,27
Matt Serra,Red,1,6,Orthodox,1,0,0,167.64,172.72,170,6,2010-02-06,1974-06-02,36
Randy Couture,Red,1,7,Orthodox,1,0,0,185.42,190.5,205,14,2010-02-06,1963-06-22,47
Mac Danzig,Red,1,3,Orthodox,1,0,0,172.72,177.8,155,2,2010-02-06,1980-01-02,30
Paulo Thiago,Red,1,1,Orthodox,1,0,0,180.34,187.96,170,2,2010-02-06,1981-01-25,29
Rob Emerson,Red,1,3,Orthodox,1,0,0,175.26,177.8,155,2,2010-02-06,1981-07-30,29
Chael Sonnen,Red,1,3,Southpaw,0,1,0,185.42,185.42,205,3,2010-02-06,1977-04-03,33
Phil Davis,Red,1,0,Orthodox,1,0,0,187.96,200.66,205,0,2010-02-06,1984-09-25,25
Chris Tuchscherer,Red,1,1,Orthodox,1,0,0,187.96,193.04,258,0,2010-02-06,1975-09-08,34
Joey Beltran,Red,1,0,Orthodox,1,0,0,185.42,190.5,185,0,2010-02-06,1981-12-08,28
Rick Story,Red,1,1,Southpaw,0,1,0,175.26,180.34,170,1,2010-01-11,1984-08-28,25
Amir Sadollah,Red,1,1,Orthodox,1,0,0,177.8,190.5,170,2,2010-01-11,1980-08-27,29
Aaron Simpson,Red,1,0,Orthodox,1,0,0,182.88,185.42,170,2,2010-01-11,1974-07-20,35
Evan Dunham,Red,1,0,Southpaw,0,1,0,177.8,177.8,155,2,2010-01-11,1981-12-18,28
Rory MacDonald,Red,1,0,Orthodox,1,0,0,182.88,193.04,170,0,2010-01-11,1989-07-22,20
Gray Maynard,Red,1,1,Orthodox,1,0,0,175.26,177.8,155,6,2010-01-11,1979-05-09,31
Thiago Tavares,Draw,0,3,Orthodox,1,0,0,170.18,177.8,145,4,2010-01-11,1984-11-08,25
Chris Leben,Red,1,5,Southpaw,0,1,0,180.34,185.42,185,8,2010-01-11,1980-07-21,29
Gerald Harris,Red,1,0,Southpaw,0,1,0,180.34,195.58,185,0,2010-01-11,1979-11-19,30
Rafael Dos Anjos,Red,1,2,Southpaw,0,1,0,172.72,177.8,155,1,2010-01-11,1984-10-26,25
Nick Catone,Red,1,2,Southpaw,0,1,0,182.88,182.88,185,1,2010-01-11,1981-09-01,28
Jim Miller,Red,1,1,Southpaw,0,1,0,172.72,180.34,155,4,2010-01-02,1983-08-30,26
Martin Kampmann,Red,1,2,Orthodox,1,0,0,182.88,182.88,170,6,2010-01-02,1982-04-17,28
Cole Miller,Red,1,2,Orthodox,1,0,0,185.42,185.42,145,4,2010-01-02,1984-04-26,26
Paul Daley,Red,1,0,Orthodox,1,0,0,175.26,193.04,170,1,2010-01-02,1983-02-21,27
Junior Dos Santos,Red,1,0,Orthodox,1,0,0,193.04,195.58,238,3,2010-01-02,1984-01-30,26
Sam Stout,Red,1,4,Orthodox,1,0,0,175.26,177.8,155,3,2010-01-02,1984-04-23,26
Rashad Evans,Red,1,2,Orthodox,1,0,0,182.88,190.5,205,8,2010-01-02,1979-09-25,30
Mark Munoz,Red,1,1,Orthodox,1,0,0,182.88,180.34,185,1,2010-01-02,1978-02-09,32
Rafaello Oliveira,Red,1,1,Orthodox,1,0,0,172.72,180.34,155,0,2010-01-02,1982-01-26,28
Jake Ellenberger,Red,1,1,Orthodox,1,0,0,175.26,180.34,170,0,2010-01-02,1985-03-28,25
Frank Mir,Red,1,4,Southpaw,0,1,0,190.5,200.66,264,10,2009-12-12,1979-05-24,31
Johny Hendricks,Red,1,0,Southpaw,0,1,0,175.26,175.26,185,1,2009-12-12,1983-09-12,26
Matt Wiman,Red,1,3,Orthodox,1,0,0,177.8,172.72,155,4,2009-12-12,1983-09-19,26
Jon Fitch,Red,1,1,Orthodox,1,0,0,182.88,187.96,170,10,2009-12-12,1978-02-24,32
Kenny Florian,Red,1,3,Southpaw,0,1,0,177.8,187.96,145,9,2009-12-12,1976-05-26,34
Alan Belcher,Red,1,4,Orthodox,1,0,0,187.96,190.5,185,5,2009-12-12,1984-04-24,26
Stefan Struve,Red,1,1,Orthodox,1,0,0,210.82,213.36,265,2,2009-12-12,1988-02-18,22
BJ Penn,Red,1,5,Orthodox,1,0,0,175.26,177.8,155,10,2009-12-12,1978-12-13,31
Rousimar Palhares,Red,1,1,Orthodox,1,0,0,172.72,180.34,170,2,2009-12-12,1980-02-26,30
DaMarques Johnson,Red,1,1,Orthodox,1,0,0,185.42,190.5,170,0,2009-12-12,1982-06-28,27
TJ Grant,Red,1,1,Orthodox,1,0,0,177.8,182.88,155,1,2009-12-12,1984-02-26,26
Matt Hamill,Red,1,2,Orthodox,1,0,0,185.42,193.04,205,6,2009-12-05,1976-10-05,33
Brian Stann,Red,1,1,Orthodox,1,0,0,185.42,187.96,205,1,2009-12-05,1980-09-24,29
Matt Mitrione,Red,1,0,Switch,0,0,1,190.5,208.28,265,0,2009-12-05,1978-07-15,31
Frankie Edgar,Red,1,1,Orthodox,1,0,0,167.64,172.72,135,5,2009-12-05,1981-10-16,28
James McSweeney,Red,1,0,Switch,0,0,1,193.04,195.58,230,0,2009-12-05,1980-10-24,29
Kevin Ferguson,Red,1,0,Orthodox,1,0,0,187.96,195.58,235,0,2009-12-05,1974-02-08,36
Roy Nelson,Red,1,0,Orthodox,1,0,0,182.88,185.42,263,0,2009-12-05,1976-06-20,33
Jon Madsen,Red,1,0,Orthodox,1,0,0,182.88,182.88,240,0,2009-12-05,1980-02-12,30
